Load Report FULLS IN;;;;;;;;;;;;;;;;;;;;;;;;;
Steering partner name;Business case;Freight mode;Load ID;Leg number;Transport end [date time];Transport mode;Transport order ID;Carrier company name;;Consignor location name;Recipient location name;Truck plate number;Trailer plate number;;Driver name;Driver contact;1st status in process;Pickup [date];Pickup times;Delivery [date];Delivery times;Handling unit quantity (TO);Current status name (TO);Current status name (Load);
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240051;2;06.08.2015 22:00;HUB;VE01992481;670331 - Ghibli Szállítmányozási Kft.;48;16075 | Ernst Umformtechnik GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MPS 030;XZV 351;0;;;04.08.2015 10:52;05.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;31;consignment collected;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239885;1;10.08.2015 03:00;LTL;VE01993226;97053356 - GEFCO Hungary;48;5000042027 | NSK Polska Sp. z o.o.;97311161 | Europa Center Miskolc Uzleti es L. P.;;;0;;;04.08.2015 10:28;05.08.2015;10:00 - 15:30;10.08.2015;02:00 - 03:00;10;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239882;1;10.08.2015 19:00;LTL;VE01993126;670331 - Ghibli Szállítmányozási Kft.;48;53746 | Argomm S.P.A.;3000 | Robert Bosch Energy and Body Systems Kft.;LMH-778;;0;;;04.08.2015 11:01;05.08.2015;09:00 - 17:00;10.08.2015;18:00 - 19:00;4;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240314;2;08.08.2015 02:00;HUB;VE01992590;123261 - LGI Logistics Group International GmbH.;48;632505 | Ukm Fahrzeugteile Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;04.08.2015 10:45;05.08.2015;10:00 - 14:00;08.08.2015;00:00 - 04:00;35;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240313;2;08.08.2015 00:01;HUB;VE01994125;123261 - LGI Logistics Group International GmbH.;48;18740 | Walter Soehner GmbH & Co. KG;3000 | Robert Bosch Energy and Body Systems Kft.;MTT864;RTZD239;0;;;05.08.2015 10:55;06.08.2015;14:00 - 17:00;08.08.2015;00:00 - 04:00;2;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240136;1;10.08.2015 19:00;LTL;VE01994329;670331 - Ghibli Szállítmányozási Kft.;48;97250330 | Robert Bosch S.R.L;3000 | Robert Bosch Energy and Body Systems Kft.;MIM-796;MS-20-MEX;0;;;05.08.2015 10:46;06.08.2015;08:00 - 16:00;10.08.2015;18:00 - 19:00;24;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240181;1;06.08.2015 16:00;MR;VE01994501;97285181 - EuroCargo Express;48;93023 | Eckerle Automotive Kft.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;05.08.2015 10:56;06.08.2015;06:00 - 08:00;06.08.2015;15:00 - 16:00;44;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240144;1;10.08.2015 21:00;LTL;VE01994339;97053356 - GEFCO Hungary;34;180104 | Maugo Poland Sp. Z O.O.;97178139 | Eckerle Automotive Kft.;PO1K716;ST9879A;19;Piotr Kopañczyk;"AKD088054	731219538";04.08.2015 15:20;06.08.2015;08:00 - 21:00;10.08.2015;09:00 - 21:00;12;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239837;1;06.08.2015 08:00;FTL;VE01992924;97213980 - Waberer's International Zrt.;48;888089 | Robert Bosch GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MTT-320;WAG-982;0;Hochvárt Bence/Hudák Ádám;;04.08.2015 08:41;05.08.2015;10:00 - 10:00;06.08.2015;07:00 - 08:00;30;Billingcase created;Billingcase created;19
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239884;1;06.08.2015 19:00;LTL;VE01992962;670331 - Ghibli Szállítmányozási Kft.;48;632384-02 | Aichi Magfine Czech s.r.o.;3000 | Robert Bosch Energy and Body Systems Kft.;FJP-431;;0;;;03.08.2015 15:08;05.08.2015;12:00 - 15:00;06.08.2015;18:00 - 19:00;5;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239842;1;07.08.2015 09:00;FTL;VE01993191;123261 - LGI Logistics Group International GmbH.;42;97166418 | Johnson Matthey Battery Systems Sp. z o;97032713 | Logicon Invest Magyarország Kft;KN78752;KN1605P;0;;;04.08.2015 10:20;05.08.2015;15:00 - 15:00;07.08.2015;09:00 - 09:00;66;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239804;2;06.08.2015 00:01;HUB;10014600;123261 - LGI Logistics Group International GmbH.;48;5070 | WEVO-CHEMIE GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MPJ 462;WAE679;0;;;03.08.2015 10:12;04.08.2015;08:00 - 16:00;06.08.2015;00:00 - 04:00;1;delivered;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239804;2;06.08.2015 00:01;HUB;VE01974663;123261 - LGI Logistics Group International GmbH.;48;632505 | Ukm Fahrzeugteile Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MPJ 462;WAE679;0;;;31.07.2015 10:53;03.08.2015;10:00 - 14:00;06.08.2015;00:00 - 04:00;18;Billingcase created;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239857;1;07.08.2015 19:00;LTL;VE01992968;670331 - Ghibli Szállítmányozási Kft.;48;97250330 | Robert Bosch S.R.L;3000 | Robert Bosch Energy and Body Systems Kft.;LTR-845;XWZ-199;0;;;04.08.2015 10:19;05.08.2015;08:00 - 16:00;07.08.2015;18:00 - 19:00;35;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239897;1;10.08.2015 19:00;LTL;VE01993130;670331 - Ghibli Szállítmányozási Kft.;48;64491 | I.M.P. SPA;3000 | Robert Bosch Energy and Body Systems Kft.;KYF-643;XUN-507;0;;;04.08.2015 10:19;05.08.2015;14:00 - 17:00;10.08.2015;18:00 - 19:00;23;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239815;2;05.08.2015 22:00;HUB;10014522;670331 - Ghibli Szállítmányozási Kft.;48;12394-02 | Schulte & Schmidt;3000 | Robert Bosch Energy and Body Systems Kft.;MYD - 817;WAF - 788;0;;;31.07.2015 09:48;03.08.2015;14:00 - 15:30;06.08.2015;00:00 - 04:00;2;Goods Receipt handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240052;2;07.08.2015 00:01;HUB;VE01992435;123261 - LGI Logistics Group International GmbH.;48;15899-01 | Paul Bippus GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;NBR-908;XYP-812;0;;;04.08.2015 08:28;05.08.2015;07:00 - 15:30;07.08.2015;00:00 - 04:00;9;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240051;2;06.08.2015 22:00;HUB;VE01992536;670331 - Ghibli Szállítmányozási Kft.;48;130 | Hala Dichtungen und Isolierteile GmbH&Co. KG;3000 | Robert Bosch Energy and Body Systems Kft.;MPS 030;XZV 351;0;;;04.08.2015 10:12;05.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;1;Goods Receipt handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240314;2;08.08.2015 02:00;HUB;VE01992639;123261 - LGI Logistics Group International GmbH.;48;15115 | Kaiser & Waltermann GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;04.08.2015 08:51;05.08.2015;07:30 - 14:30;08.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;10014506;123261 - LGI Logistics Group International GmbH.;48;874 | Seeger-Orbis GmbH & Co OHG;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;31.07.2015 08:26;04.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;5;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240129;1;12.08.2015 21:00;LTL;VE01994334;97303889 - EKOL Logistics Kft.;34;648288-01 | Industrial Vilassarenca, SA;97178139 | Eckerle Automotive Kft.;;;0;;;04.08.2015 15:08;06.08.2015;06:00 - 14:00;12.08.2015;09:00 - 21:00;5;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239848;1;07.08.2015 21:00;FTL;10014694;97055236 - DHL Freight Magyarország Kft.;48;97059919 | Graform;3000 | Robert Bosch Energy and Body Systems Kft.;MVW620;XXP682;0;;;04.08.2015 10:35;05.08.2015;19:00 - 19:00;07.08.2015;20:00 - 21:00;83;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;VE01992480;123261 - LGI Logistics Group International GmbH.;48;876 | Stumpp & Schüle Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;04.08.2015 09:34;05.08.2015;13:00 - 16:00;07.08.2015;00:00 - 04:00;8;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;VE01992484;123261 - LGI Logistics Group International GmbH.;48;8681 | Woelco AG;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;04.08.2015 09:45;05.08.2015;07:00 - 15:30;07.08.2015;00:00 - 04:00;4;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;10014617;123261 - LGI Logistics Group International GmbH.;48;4010 | Schumacher Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;03.08.2015 10:49;04.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240051;2;06.08.2015 22:00;HUB;VE01984063;670331 - Ghibli Szállítmányozási Kft.;48;226 | Fastenrath Befestigugstechnik Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MPS 030;XZV 351;0;;;03.08.2015 07:33;04.08.2015;08:00 - 15:00;07.08.2015;00:00 - 04:00;1;Goods Receipt handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240116;1;12.08.2015 11:00;LTL;10014686;97303889 - EKOL Logistics Kft.;48;94320 | Matz-Erreka, S. Coop.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 10:04;06.08.2015;08:00 - 16:00;12.08.2015;10:00 - 11:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240054;2;07.08.2015 02:00;HUB;VE01992424;123261 - LGI Logistics Group International GmbH.;48;852 | Grieshaber GmbH & Co. KG;3000 | Robert Bosch Energy and Body Systems Kft.;MZG284;WAE679;0;;;04.08.2015 07:30;05.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240161;1;10.08.2015 19:00;LTL;VE01994320;670331 - Ghibli Szállítmányozási Kft.;48;1900201424 | Naposint Prodcom Srl;3000 | Robert Bosch Energy and Body Systems Kft.;MIM-796;MS-20-MEX;0;;;05.08.2015 07:27;06.08.2015;14:00 - 22:00;10.08.2015;18:00 - 19:00;1;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240524;2;11.08.2015 00:01;HUB;10014737;123261 - LGI Logistics Group International GmbH.;48;8321 | Dichtungstechnik Wallstabe & Schneider GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 19:24;06.08.2015;08:00 - 16:00;11.08.2015;00:00 - 04:00;1;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240532;1;08.08.2015 12:30;FTL;VE01995700;"383335 - Liegl &#38; Dachser Logisztikai Kft.";48;16777-01 | Eckerle-Automotive;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;06.08.2015 08:43;07.08.2015;12:00 - 14:00;08.08.2015;08:30 - 09:30;9;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240524;2;11.08.2015 00:01;HUB;VE01993873;123261 - LGI Logistics Group International GmbH.;48;27455 | Fischer Automaten-Drehteile GmbH & Co KG;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;05.08.2015 08:34;06.08.2015;14:00 - 16:00;11.08.2015;00:00 - 04:00;6;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239879;1;10.08.2015 13:00;LTL;VE01992899;123261 - LGI Logistics Group International GmbH.;48;96066 | Waldon;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 09:20;05.08.2015;09:00 - 16:00;10.08.2015;12:00 - 13:00;1;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239929;1;06.08.2015 01:00;MR;VE01993065;670331 - Ghibli Szállítmányozási Kft.;48;97099369-02 | PREC-CAST Öntödei Kft.;3000 | Robert Bosch Energy and Body Systems Kft.;MHK-529;XVL-367;0;;;04.08.2015 08:21;05.08.2015;13:00 - 14:00;06.08.2015;00:00 - 01:00;2;Billingcase created;Billingcase created;19
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239101;1;06.08.2015 19:00;LTL;10014405;670331 - Ghibli Szállítmányozási Kft.;48;385943-01 | Priziati Transporti;3000 | Robert Bosch Energy and Body Systems Kft.;LUA-863;;0;;;29.07.2015 14:45;03.08.2015;08:00 - 17:00;06.08.2015;18:00 - 19:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239892;1;10.08.2015 03:00;LTL;VE01993217;97053356 - GEFCO Hungary;48;97240030 | Wirthwein Polska Sp.Zo.O.;97311161 | Europa Center Miskolc Uzleti es L. P.;PZ054EE;PZ4754Y;19;NOWAK MATEUSZ;"ATX494450	697253542";03.08.2015 12:42;05.08.2015;14:00 - 16:00;10.08.2015;02:00 - 03:00;25;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;VE01984078;123261 - LGI Logistics Group International GmbH.;48;961 | Teckentrup GmbH und Co KG;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;03.08.2015 07:47;04.08.2015;09:00 - 15:00;07.08.2015;00:00 - 04:00;7;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;VE01992456;123261 - LGI Logistics Group International GmbH.;48;11861 | VICTOR REHM GmbH + Co. KG;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;04.08.2015 09:47;05.08.2015;07:00 - 15:00;07.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240054;2;07.08.2015 02:00;HUB;VE01992467;123261 - LGI Logistics Group International GmbH.;48;4101 | Baumann Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MZG284;WAE679;0;;;04.08.2015 08:40;05.08.2015;08:30 - 15:30;07.08.2015;00:00 - 04:00;3;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240523;2;08.08.2015 22:00;HUB;VE01993955;670331 - Ghibli Szállítmányozási Kft.;48;134450 | Cw Bearing Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MYD - 817;WAF - 788;0;;;04.08.2015 15:43;06.08.2015;09:00 - 17:00;11.08.2015;00:00 - 04:00;13;consignment collected;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240043;2;06.08.2015 21:00;HUB;VE01984242;123261 - LGI Logistics Group International GmbH.;34;76634 | Feinmechanik Bernd Weichelt;97178139 | Eckerle Automotive Kft.;LWB-851;XYV-284;0;;;31.07.2015 14:53;04.08.2015;08:00 - 16:00;06.08.2015;09:00 - 21:00;4;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239815;2;05.08.2015 22:00;HUB;10014546;670331 - Ghibli Szállítmányozási Kft.;48;7644 | Stanzwerk Ag;3000 | Robert Bosch Energy and Body Systems Kft.;MYD - 817;WAF - 788;0;;;31.07.2015 11:07;03.08.2015;07:00 - 16:30;06.08.2015;00:00 - 04:00;14;Billingcase created;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239868;1;10.08.2015 03:00;LTL;VE01992953;97053356 - GEFCO Hungary;48;636093 | Pol-Elektra Sp. Z.O.O.;3000 | Robert Bosch Energy and Body Systems Kft.;WSZ72MR;WSZ72FT;19;Zbigniew Ko³odziej;"ARR675994	661871890";04.08.2015 09:43;05.08.2015;08:00 - 16:00;10.08.2015;02:00 - 03:00;50;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239843;1;06.08.2015 04:00;FTL;VE01992969;97055236 - DHL Freight Magyarország Kft.;48;97185965 | Brixiapress, s.r.o.;3000 | Robert Bosch Energy and Body Systems Kft.;MGC125;XZF338;0;;;04.08.2015 10:32;05.08.2015;15:00 - 17:00;06.08.2015;00:00 - 04:00;69;delivered;Load delivered;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240141;1;12.08.2015 15:00;LTL;VE01994288;97303889 - EKOL Logistics Kft.;48;130879 | Saint-Gobain;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 12:07;06.08.2015;08:00 - 17:00;12.08.2015;14:00 - 15:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239923;1;06.08.2015 09:00;MR;VE01992991;97285181 - EuroCargo Express;48;125665-01 | Atlanta Elektrosysteme GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 10:51;05.08.2015;13:00 - 14:00;06.08.2015;08:00 - 09:00;3;delivered;Load delivered;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239923;1;06.08.2015 09:00;MR;VE01992995;97285181 - EuroCargo Express;48;60062 | RÁBA Jármûipari Alkatrészgyártó Kft;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 10:00;05.08.2015;17:00 - 19:00;06.08.2015;08:00 - 09:00;3;delivered;Load delivered;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239946;1;06.08.2015 21:00;MR;10014732;97017561 - JAS-FBG Spó³ka Akcyjna;48;87074 | Linaset, a.s.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 13:58;05.08.2015;08:00 - 10:00;06.08.2015;14:00 - 21:00;9;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239946;1;06.08.2015 21:00;MR;VE01992922;97017561 - JAS-FBG Spó³ka Akcyjna;48;83468 |  TNS Servis sro;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 08:01;05.08.2015;12:00 - 14:00;06.08.2015;14:00 - 15:00;28;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240052;2;07.08.2015 00:01;HUB;VE01984051;123261 - LGI Logistics Group International GmbH.;48;69430 | Itw Fastener Products Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;NBR-908;XYP-812;0;;;03.08.2015 08:19;04.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239615;1;06.08.2015 19:00;LTL;VE01984432;670331 - Ghibli Szállítmányozási Kft.;48;72464 | KOLEKTOR GROUP;3000 | Robert Bosch Energy and Body Systems Kft.;LJ HL-244;;0;;;03.08.2015 09:38;04.08.2015;08:00 - 15:00;06.08.2015;18:00 - 19:00;16;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239924;1;06.08.2015 14:00;FTL;VE01992992;97285181 - EuroCargo Express;48;3000000318 |  Anton Szerszámkészitö Kft.;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 11:12;05.08.2015;12:00 - 13:00;06.08.2015;08:00 - 09:00;57;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239859;1;10.08.2015 03:00;LTL;VE01993216;97053356 - GEFCO Hungary;48;97204624 | Teknia Kalisz;97311161 | Europa Center Miskolc Uzleti es L. P.;;;0;;;04.08.2015 08:54;05.08.2015;07:00 - 21:00;10.08.2015;02:00 - 03:00;17;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240383;1;13.08.2015 21:00;LTL;VE01995675;97303889 - EKOL Logistics Kft.;34;97025340 | Sandhar Spain;97178139 | Eckerle Automotive Kft.;;;0;;;06.08.2015 08:54;07.08.2015;08:00 - 20:00;13.08.2015;09:00 - 21:00;5;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240054;2;07.08.2015 02:00;HUB;10014714;123261 - LGI Logistics Group International GmbH.;48;134671 | R.E.T.;3000 | Robert Bosch Energy and Body Systems Kft.;MZG284;WAE679;0;;;04.08.2015 11:04;05.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;3;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240313;2;08.08.2015 00:01;HUB;10014655;123261 - LGI Logistics Group International GmbH.;48;12394-02 | Schulte & Schmidt;3000 | Robert Bosch Energy and Body Systems Kft.;MTT864;RTZD239;0;;;04.08.2015 07:54;05.08.2015;14:00 - 15:30;08.08.2015;00:00 - 04:00;2;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240312;2;07.08.2015 22:00;HUB;10014675;670331 - Ghibli Szállítmányozási Kft.;48;70868 | Selectrona Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MYD - 819;WAD-212;0;;;04.08.2015 09:42;05.08.2015;10:00 - 15:00;08.08.2015;00:00 - 04:00;24;Goods Receipt handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240307;1;07.08.2015 20:30;LTL;10014813;670331 - Ghibli Szállítmányozási Kft.;48;640121 | Ecseri  Kft.;3000 | Robert Bosch Energy and Body Systems Kft.;IRY-085;;0;;;05.08.2015 12:46;06.08.2015;08:00 - 14:00;07.08.2015;19:30 - 20:30;1;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239612;1;10.08.2015 19:00;LTL;10014537;670331 - Ghibli Szállítmányozási Kft.;48;81505 | Silikoneurope S.r.l.;3000 | Robert Bosch Energy and Body Systems Kft.;NDS-417;;0;;;31.07.2015 10:34;04.08.2015;08:00 - 16:00;10.08.2015;18:00 - 19:00;2;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240054;2;07.08.2015 02:00;HUB;10014692;123261 - LGI Logistics Group International GmbH.;48;8849 | Morat & Co. Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MZG284;WAE679;0;;;04.08.2015 10:29;05.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;4;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240054;2;07.08.2015 02:00;HUB;10014701;123261 - LGI Logistics Group International GmbH.;48;15382 | Parker Hannifin GmbH;3000 | Robert Bosch Energy and Body Systems Kft.;MZG284;WAE679;0;;;04.08.2015 10:44;05.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;2;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240054;2;07.08.2015 02:00;HUB;10014654;123261 - LGI Logistics Group International GmbH.;48;15159 | Karl Simon GmbH & Co. KG;3000 | Robert Bosch Energy and Body Systems Kft.;MZG284;WAE679;0;;;04.08.2015 07:46;05.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239662;1;06.08.2015 12:30;MR;10014635;125196 - Horváth Rudolf Intertransport Kft.;48;14823-02 | Egon Grosshaus GmbH & Co. KG;3000 | Robert Bosch Energy and Body Systems Kft.;MCR-304;WAE-687;0;;;03.08.2015 12:31;04.08.2015;09:00 - 10:00;06.08.2015;11:30 - 12:30;22;delivered;Load delivered;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240051;2;06.08.2015 22:00;HUB;10014713;670331 - Ghibli Szállítmányozási Kft.;48;9242 | Erdrich;3000 | Robert Bosch Energy and Body Systems Kft.;MPS 030;XZV 351;0;;;04.08.2015 11:02;05.08.2015;08:00 - 17:30;07.08.2015;00:00 - 04:00;2;consignment collected;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240376;1;13.08.2015 21:00;LTL;10014727;97303889 - EKOL Logistics Kft.;34;14242 |  TEKNIA MANRESA S.L.U;97178139 | Eckerle Automotive Kft.;;;0;;;04.08.2015 11:56;07.08.2015;08:00 - 16:00;13.08.2015;09:00 - 21:00;2;Transport order accepted;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239655;1;06.08.2015 11:30;FTL;10014636;125196 - Horváth Rudolf Intertransport Kft.;48;14823-02 | Egon Grosshaus GmbH & Co. KG;3000 | Robert Bosch Energy and Body Systems Kft.;LWB-855;XYK-507;0;;;03.08.2015 12:32;04.08.2015;08:00 - 09:00;06.08.2015;10:30 - 11:30;47;delivered;Load delivered;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240061;1;11.08.2015 21:00;LTL;10014687;97303889 - EKOL Logistics Kft.;34;94320 | Matz-Erreka, S. Coop.;97178139 | Eckerle Automotive Kft.;;;0;;;04.08.2015 10:11;05.08.2015;08:00 - 16:00;11.08.2015;09:00 - 21:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239389;1;06.08.2015 19:00;LTL;10014495;670331 - Ghibli Szállítmányozási Kft.;48;635433 | OSAR Srl;3000 | Robert Bosch Energy and Body Systems Kft.;MKT-355;XUF-516;0;;;31.07.2015 09:44;03.08.2015;08:00 - 16:00;06.08.2015;18:00 - 19:00;24;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240313;2;08.08.2015 00:01;HUB;VE01993818;123261 - LGI Logistics Group International GmbH.;48;73659-02 | Ims - Gear Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MTT864;RTZD239;0;;;05.08.2015 09:55;06.08.2015;07:30 - 16:00;08.08.2015;00:00 - 04:00;5;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240051;2;06.08.2015 22:00;HUB;VE01992826;670331 - Ghibli Szállítmányozási Kft.;48;658 | PROGRESSWERK;3000 | Robert Bosch Energy and Body Systems Kft.;MPS 030;XZV 351;0;;;04.08.2015 10:15;05.08.2015;11:30 - 15:00;07.08.2015;00:00 - 04:00;34;Goods Receipt handling location;Load assigned;13
