Load Report FULLS IN;;;;;;;;;;;;;;;;;;;;;;;;;
Steering partner name;Business case;Freight mode;Load ID;Leg number;Transport end [date time];Transport mode;Transport order ID;Carrier company name;;Consignor location name;Recipient location name;Truck plate number;Trailer plate number;;Driver name;Driver contact;1st status in process;Pickup [date];Pickup times;Delivery [date];Delivery times;Handling unit quantity (TO);Current status name (TO);Current status name (Load);
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239656;1;06.08.2015 19:00;LTL;10014585;670331 - Ghibli Szállítmányozási Kft.;48;41808 | MAHLE Letrika;3000 | Robert Bosch Energy and Body Systems Kft.;FVH-620;;0;;;03.08.2015 09:16;04.08.2015;07:30 - 14:30;06.08.2015;18:00 - 19:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240051;2;06.08.2015 22:00;HUB;VE01984053;670331 - Ghibli Szállítmányozási Kft.;48;452294 | Saint-Gobain Performance Plastics L+S;3000 | Robert Bosch Energy and Body Systems Kft.;MPS 030;XZV 351;0;;;03.08.2015 09:31;04.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;1;Goods Receipt handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239887;1;10.08.2015 03:00;LTL;VE01993222;97053356 - GEFCO Hungary;48;634251 |  ALTHA Powder Metallurgy Sp. z o.o.;97311161 | Europa Center Miskolc Uzleti es L. P.;;;0;;;04.08.2015 10:13;05.08.2015;10:00 - 16:00;10.08.2015;02:00 - 03:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240053;2;07.08.2015 01:00;HUB;VE01992511;123261 - LGI Logistics Group International GmbH.;48;549 | Krempel Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;04.08.2015 08:27;05.08.2015;08:00 - 16:00;07.08.2015;00:00 - 04:00;1;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239624;1;12.08.2015 15:00;LTL;VE01984446;97303889 - EKOL Logistics Kft.;48;106598 | Pecol Ii Componentes Industriais;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;03.08.2015 10:19;04.08.2015;08:00 - 17:00;12.08.2015;14:00 - 15:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239855;1;10.08.2015 19:00;LTL;VE01992948;670331 - Ghibli Szállítmányozási Kft.;48;97185964 | Eucasting Ro;3000 | Robert Bosch Energy and Body Systems Kft.;MJR-893;XZG-750;0;;;04.08.2015 09:59;05.08.2015;08:00 - 16:00;10.08.2015;18:00 - 19:00;99;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239864;1;10.08.2015 03:00;LTL;VE01992951;97053356 - GEFCO Hungary;48;97165098 | Autocam Poland Sp. zo.o;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 09:33;05.08.2015;08:00 - 16:00;10.08.2015;02:00 - 03:00;8;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239627;1;12.08.2015 21:00;LTL;VE01984497;97303889 - EKOL Logistics Kft.;34;126364 | Micro Plasticos Sa;97178139 | Eckerle Automotive Kft.;;;0;;;03.08.2015 10:42;04.08.2015;09:00 - 18:00;12.08.2015;09:00 - 21:00;1;consignment collected;Load collected;14
Robert Bosch Energy and Body Systems Kft.;FLL;IN;240314;2;08.08.2015 02:00;HUB;10014611;123261 - LGI Logistics Group International GmbH.;48;126367-01 | Litens Automotive Gmbh;3000 | Robert Bosch Energy and Body Systems Kft.;MZG257;XYV303;0;;;03.08.2015 10:41;05.08.2015;08:00 - 16:00;08.08.2015;00:00 - 04:00;20;Goods Issue handling location;Load assigned;13
Robert Bosch Energy and Body Systems Kft.;FLL;IN;239923;1;06.08.2015 09:00;MR;VE01992993;97285181 - EuroCargo Express;48;27883 | Hoffmann & Co.Elektrokohle AG;3000 | Robert Bosch Energy and Body Systems Kft.;;;0;;;04.08.2015 10:32;05.08.2015;09:00 - 11:00;06.08.2015;08:00 - 09:00;19;delivered;Load delivered;14
